id	text	tag
1.png	Company Name	O
1.png	INVOICE	O
1.png	[Street Accress]	O
1.png	[City, ST  ZIP]	O
1.png	DATE	O
1.png	12-9-2019	DATE
1.png	INVOICE	O
1.png	[123456]	NUMB
1.png	CUSTOMER ID	O
1.png	[123]	O
1.png	Website: somecomain.com	O
1.png	DUE DATE	O
1.png	1-8-2020	O
1.png	BILL TO	O
1.png	[Name]	O
1.png	[Company Name]	O
1.png	[Street Accres]	O
1.png	[City, ST  ZIP]	O
1.png	[Phone]	O
1.png	DESCRIPTION	O
1.png	TAXED	O
1.png	AMOUNT	O
1.png	[Service Fee_	O
1.png	230.00	O
1.png	[Labor:	O
1.png	hours at S75/hr]	O
1.png	375.00	O
1.png	[Parts]	O
1.png	345.00	O
1.png	Subtotal	O
1.png	950.00	O
1.png	Taxabl e	O
1.png	345.00	O
1.png	OTHER COMMENTS	O
1.png	Tax rate	O
1.png	Total	O
1.png	paym ent cue in 30 cay	O
1.png	Tax due	O
1.png	21.56	O
1.png	Flease include the invoice number on yourcheck	O
1.png	Other	O
1.png	TOTAL	O
1.png	971.56	AMOUNT
1.png	Make all check payadleto	O
1.png	[Your Company Name]	O
1.png	sou have	O
1.png	questions about this invoice	O
1.png	eas contact	O
1.png	[Name	O
1.png	Phone	O
1.png	E-mail]	O
1.png	Thank You For Your Business!	O
1.png	excel-invoice-template html	O
1.png	Temciate	O
1.png	2010-2019 by Vertex-2.com	O
100.png	Insert Logo	O
100.png	Description	O
100.png	Hours	O
100.png	Price	O
100.png	Total	O
100.png	Here	O
100.png	House Remodeling	O
100.png	S55	O
100.png	S55	O
100.png	Consultotion	O
100.png	Paint Job	O
100.png	Premium	O
100.png	S50	O
100.png	S150	O
100.png	Paint	O
100.png	12 * 12 Room	O
100.png	Plumbing Services	O
100.png	535	O
100.png	535	O
100.png	Invoice # 1347	NUMB
100.png	Change Gasket on	O
100.png	Issued on: September 	DATE
100.png	2017	O
100.png	Faucet	O
100.png	Payable To	O
100.png	Holden	O
100.png	Caulfield	O
100.png	1382 Summit Park Avenue	O
100.png	Southfield_	O
100.png	PA 48075	O
100.png	Contact Details	O
100.png	Tel: +1 123-456-7891	O
100.png	Email:	O
100.png	Holden caulfleld@emallcom	O
100.png	(handyman-holden	O
100.png	Payment Details	O
100.png	Holden	O
100.png	Caulfield	O
100.png	United Fremont Bank	O
100.png	Acct: No. 1234 5678 9123	O
100.png	Total Amount:	O
100.png	S240.00	O
100.png	Tax (6%):	O
100.png	S14.40	O
100.png	Amount Due:	O
100.png	S254.40	AMOUNT
105.jpg	Poyment Into	O
105.jpg	Total:	O
105.jpg	5220.00	AMOUNT
107.png	[Company Name]	O
107.png	INVOICE	O
107.png	[123456]	NUMB
107.png	[245]	O
107.png	IName]	O
107.png	Comcary Nama]	O
107.png	[Frore]	O
107.png	Nem	O
107.png	Thank you forycur business	O
107.png	TOTAL	O
107.png	551,56	AMOUNT
107.png	Ifyou rav	O
107.png	[Nana	O
107.png	@3w	O
108.png	DJ Service Invoice	O
108.png	Bill To:	O
108.png	M1ao	O
108.png	S1010.00	AMOUNT
110.png	Invoice	O
110.png	BILL To	O
110.png	INVOICE	O
110.png	NUMBER	O
110.png	789	NUMB
110.png	PAYMENT	O
110.png	STATUS	O
110.png	Pending	O
110.png	Customer Name	O
110.png	1234 Main	O
110.png	ISSUE	O
110.png	DATE	O
110.png	8.28.17	DATE
110.png	Street	O
110.png	CUSTOMER ID	O
110.png	ABCD	O
110.png	Customer Company Name	O
110.png	Suite 100	O
110.png	1.112.223.456	O
110.png	Philadelphia	O
110.png	WORK ORDER #	O
110.png	123465	O
110.png	DESCRIPTION	O
110.png	HOURS	O
110.png	RATE	O
110.png	AMOUNT	O
110.png	Item name and description goes here	O
110.png	3	O
110.png	S25.00	O
110.png	S75.00	O
110.png	Item name and description goes here	O
110.png	S25.00	O
110.png	S25.00	O
110.png	Item name and description goes here	O
110.png	2	O
110.png	S25.00	O
110.png	S50.00	O
110.png	Item name and description goes here	O
110.png	3	O
110.png	S33.00	O
110.png	s99.00	O
110.png	Item name and description goes here	O
110.png	833.00	O
110.png	533.00	O
110.png	SUBTOTAL	O
110.png	S282.00	O
110.png	PROJECT NOTES	O
110.png	DISCOUNT (10%	O
110.png	S28.20	O
110.png	This is a great	O
110.png	to add	O
110.png	personalized thank you	O
110.png	note to your client:	O
110.png	S258.8	AMOUNT
110.png	TOTAL	O
110.png	QUESTIONS?	O
110.png	Please contact [Name] at [Phone Number]	O
110.png	or [Email Address]:	O
110.png	Thank you for your	O
110.png	businessl	O
110.png	PAYMENT	O
110.png	DUE BY: 9.28.17	O
110.png	1234 Main Street	O
110.png	Company	O
110.png	Philadelphia, PA 19147	O
110.png	1.112.223.333	O
110.png	SampleCompany@Sample.com	O
110.png	Name	O
110.png	SampleCompany com	O
110.png	Get paid faster_with Invoice Quickly	O
110.png	InvoiceQuickly	O
110.png	spot	O
114.jpg	Invoice	O
114.jpg	Company Name	O
114.jpg	Acdress line	O
114.jpg	Accrress line 2	O
114.jpg	City, Postcode	O
114.jpg	Phone: 1234 567 890	O
114.jpg	Invoice Date:	O
114.jpg	18-3-2021	DATE
114.jpg	Invoice Number:	O
114.jpg	1234	NUMB
114.jpg	Client Reference:	O
114.jpg	Purchase Order:	O
114.jpg	Customer Company	O
114.jpg	DUE DATE:	O
114.jpg	18-3-2021	O
114.jpg	Customer Namie	O
114.jpg	Ackress line	O
114.jpg	Cily, Postcode	O
114.jpg	Additional information	O
114.jpg	Add any additional instructions Or telms nere	O
114.jpg	Description	O
114.jpg	Qty	O
114.jpg	Unit	O
114.jpg	Unit Price	O
114.jpg	VAT %	O
114.jpg	VAT	O
114.jpg	Total	O
114.jpg	Example product	O
114.jpg	pCS	O
114.jpg	{ 60	O
114.jpg	20%	O
114.jpg	60	O
114.jpg	300	O
114.jpg	Example work	O
114.jpg	105	O
114.jpg	20%	O
114.jpg	210	O
114.jpg	{ 1 050,00	O
114.jpg	Sub Total	O
114.jpg	350	O
114.jpg	Total VAT	O
114.jpg	270	O
114.jpg	Total amount due	O
114.jpg	620	AMOUNT
114.jpg	Registered Address	O
114.jpg	Conachinfotmation	O
114.jpg	Payment Details	O
114.jpg	Addres$ Line	O
114.jpg	Ccnlact Name	O
114.jpg	Benk Name	O
114.jpg	PLC	O
114.jpg	Address Line	O
114.jpg	Plone: 1234 567 890	O
114.jpg	Sor-Code	O
114.jpg	City. Postcode	O
114.jpg	Email: iirstlast@company co.uk	O
114.jpg	Account No_	O
114.jpg	123456789	O
114.jpg	Logo	O
114.jpg	Your	O
116.jpg	INVOIcE	O
116.jpg	T H E	O
116.jpg	D E $ | G N	O
116.jpg	S T U D | 0	O
116.jpg	(+12) 489 2901	O
116.jpg	WWW.	O
116.jpg	thedesignstudio.com	O
116.jpg	Los	O
116.jpg	Angeles, California	O
116.jpg	AMANDA RICHARDSON	O
116.jpg	Znd Avenue corner 125 West Brooke Drive	O
116.jpg	Los	O
116.jpg	Angeles	O
116.jpg	California 90478	O
116.jpg	United States of America	O
116.jpg	INVOICE NO:	O
116.jpg	TDS 000313	NUMB
116.jpg	DATE ISSUED:	O
116.jpg	October 13 2019	DATE
116.jpg	DESCRIPTION	O
116.jpg	QTY	O
116.jpg	PRICE	O
116.jpg	AMOUNT	O
116.jpg	12 x 18 Sheet	O
116.jpg	$8.00	O
116.jpg	516.00	O
116.jpg	Colored Viny	O
116.jpg	Stickers	O
116.jpg	8.5 x 11 Colored	O
116.jpg	$2.00	O
116.jpg	$10,00	O
116.jpg	CzSOo Print	O
116.jpg	8.5 x 11 B&w	O
116.jpg	$1,00	O
116.jpg	52.00	O
116.jpg	CzSOo Print	O
116.jpg	SHIPPING FEE	O
116.jpg	52	O
116.jpg	SERVICE TAX	O
116.jpg	52	O
116.jpg	AMOUNT DUE	O
116.jpg	S32.00	AMOUNT
118.jpg	INVOICE	O
118.jpg	#0079	NUMB
118.jpg	nov-24	DATE
118.jpg	2010	DATE
118.jpg	FROM:	O
118.jpg	TO:	O
118.jpg	YOUR NAME	O
118.jpg	CUIENT NAME	O
118.jpg	TOUFCOMPANT	O
118.jpg	CLENTCONPANT	O
118.jpg	134 STRFETNAME	O
118.jpg	9876 STRFETNAME	O
118.jpg	ETATE	O
118.jpg	023 123-4667	O
118.jpg	(321) 6754-123	O
118.jpg	FoR:	O
118.jpg	Cccdg	O
118.jpg	Unil Rice	O
118.jpg	SOME SEFVICE	O
118.jpg	29.99	O
118.jpg	29.99	O
118.jpg	ITEM SOLD	O
118.jpg	45.00	O
118.jpg	45.00	O
118.jpg	ANOTHER SEAVICE	O
118.jpg	55.00	O
118.jpg	55.00	O
118.jpg	TOTAL:	O
118.jpg	5129	AMOUNT
118.jpg	NOTES	O
118.jpg	Hu	O
119.jpg	ZOHOCORP	O
119.jpg	INVOICE	O
119.jpg	#4900 Hopyard Rd,	O
119.jpg	Suite 310,	O
119.jpg	easanton	O
119.jpg	Bill To:	O
119.jpg	Ship To:	O
119.jpg	Invoice Amount	O
119.jpg	AdventNet Corp	O
119.jpg	AdventNet Corp	O
119.jpg	S1564.81	AMOUNT
119.jpg	#4900 Hopyard Rd, Suite 310,	O
119.jpg	#4900 Hopyard Rd, Suite 310,	O
119.jpg	Pleasanton	O
119.jpg	Pleasanton	O
119.jpg	Invoice date	O
119.jpg	PO#	O
119.jpg	Terms	O
119.jpg	Due Date	O
119.jpg	Apr 08, 2013	DATE
119.jpg	29183	O
119.jpg	30 Days	O
119.jpg	May 08,2013	O
119.jpg	Qty	O
119.jpg	Unit Price	O
119.jpg	Zoho Books	O
119.jpg	1.00	O
119.jpg	51,018.52	O
119.jpg	S1,018.52	O
119.jpg	Lorem ipsum Color sit amet consectetur adipiscing elit Maecenas	O
119.jpg	porttitor quam interd um nisl suscipit tempor:	O
119.jpg	Zoho CRM	O
119.jpg	1.00	O
119.jpg	583.33	O
119.jpg	583.33	O
119.jpg	Lorem ipsum dolor sit amet	O
119.jpg	porttitor quam interdum nisl suscipit tempor:	O
119.jpg	Zoho Invoice	O
119.jpg	1.00	O
119.jpg	S462.96	O
119.jpg	5462.96	O
119.jpg	Lorem ipsum dolor sit amet	O
119.jpg	porttitor quaminterdumnisl suscipit tempor:	O
119.jpg	Thanks for your business	O
119.jpg	Subtotal	O
119.jpg	S1564.81	O
119.jpg	TOTAL	O
119.jpg	S1564.81	O
119.jpg	Payment Options	O
119.jpg	PayPai	O
119.jpg	HDFC Bank	O
119.jpg	Son Cojc	O
119.jpg	Terms	O
119.jpg	Conditicns	O
119.jpg	General Terms ) and terms and conditions if any specifictouse of	O
119.jpg	individual Services (hereinafter the	O
119.jpg	Service Specific Terms	O
119.jpg	The General Terms and Service Specific Terms Jre	O
119.jpg	llectively referred t0	O
119.jpg	conflict betveenthe Genera	O
119.jpg	Terms and Service Specific Terms, the Service Specific Terms sha	O
119.jpg	Prevall	O
12.png	My Company name	O
12.png	Invoice	O
12.png	INV-00000	NUMB
12.png	My company slogan	O
12.png	September 8, 2013	DATE
12.png	Invcc	O
12.png	Insert Your Logo	O
12.png	Cuslcmei ID	O
12.png	[ABC12345]	O
12.png	Purchasc	O
12.png	Urc Cr #	O
12.png	12345578	O
12.png	Payment Due by:	O
12.png	2013	O
12.png	Bill To:	O
12.png	Ship	O
12.png	Diffcrentj:	O
12.png	INaMT	O
12.png	[Namcl	O
12.png	'Company Namel	O
12.png	[Stree: Address]	O
12.png	[Street Address]	O
12.png	[City, ST	O
12.png	ZIP Code]	O
12.png	[City	O
12.png	ZIP Codc]	O
12.png	IPhcne]	O
12.png	[Phonel	O
12.png	Printing and Binding (160*51,75/each)	O
12.png	280 00	O
12.png	Printing	O
12.png	(10*515.20/5*500 Sheets)	O
12.png	152.00	O
12.png	Special	O
12.png	Instructions	O
12.png	Sublotal	O
12.png	432.00	O
12.png	Sales Tax Rate	O
12.png	Sales Tax	O
